,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,1.048780487804878,1,1.0,1.0226860254083485,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.7021276595744681,0.3333333333333333,0.5,1.0,0.25,1.0,1.9177373602536292,0.3540222804045382,1.0,1.0,1.0,1.0909090909090908,1.3333333333333333,3.0,1.0,0.0,1.25,0.0,3.0,1.3333333333333333,1.5,2.0,1.4
1,1.0408163265306123,0,1.0,1.5483870967741935,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.5245901639344261,1.5,1.0,1.0,2.0,1.0,2.0721247563352825,0.8639739832175694,1.0,1.0,2.0,1.0434782608695652,0.75,0.75,1.0,1.0,1.2,1.0,0.3333333333333333,1.2,1.2857142857142858,3.0,1.2857142857142858
2,1.054054054054054,1,1.0,0.6241806263656228,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,0.358695652173913,1.5,1.0,1.0,1.3333333333333333,1.0,3.6315789473684212,6.166944908180301,1.0,1.0,1.0,1.0666666666666667,1.0,1.5,1.0,0.0,1.2857142857142858,1.0,0.6666666666666666,2.0,2.0,2.0,2.0
3,1.0606060606060606,0,1.0,0.22844827586206898,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.6785714285714286,1.0,1.0,1.0,0.3333333333333333,1.0,2.890684083877621,1.000172719029319,1.0,1.0,1.0,1.0909090909090908,1.3333333333333333,0.6666666666666666,1.0,0.0,1.25,1.0,1.0,1.25,1.2857142857142858,1.6666666666666667,2.0
4,1.0740740740740742,0,1.0,0.3553299492385787,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.25,0.6666666666666666,1.0,1.3333333333333333,1.0,1.0,2.5859284890426757,1.139911014911015,1.0,1.0,1.0,1.0833333333333333,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,0.6666666666666666,2.0,2.0,2.0,2.0
5,1.0625,0,1.0,0.16716417910447762,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,0.5443037974683544,1.0,1.0,1.0,0.75,1.0,2.7926988265971318,0.2888570465273095,0.0,1.0,1.0,1.0769230769230769,1.3333333333333333,1.3333333333333333,1.0,0.0,1.25,1.0,1.0,1.2857142857142858,1.2857142857142858,1.6666666666666667,1.3333333333333333
6,1.0338983050847457,0,1.0,0.2998489425981873,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,0.9135802469135802,0.75,1.0,1.0,3.0,1.0,3.059925093632959,2.160377358490566,1.0,1.0,0.5,1.05,0.75,4.0,1.0,1.0,1.1666666666666667,1.0,1.5,3.0,2.0,2.0,2.0
7,1.0666666666666667,0,1.0,1.0073637702503682,1.0,1.0,1.0,1.0,1.0,11,1.0,1.0,1.1194029850746268,1.0,1.0,1.0,0.3333333333333333,1.0,3.0423319717786854,0.6589426321709786,1.0,1.0,1.0,1.0454545454545454,0.75,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0
8,1.0526315789473684,0,1.0,5.50462962962963,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.6590909090909092,1.0,1.0,1.0,1.0,0.6666666666666666,1.5248792777661138,1.3435757368840333,0.0,1.0,2.0,1.0952380952380953,0.75,1.0,1.0,0.0,1.2,1.0,1.0,1.2222222222222223,1.2857142857142858,3.0,1.25
9,1.0555555555555556,0,1.0,0.7959969207082371,1.0,1.0,1.0,1.0,1.0,13,1.0,1.0,1.0319148936170213,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,2.0502195913691046,1.0781202871448392,1.0,1.0,1.0,1.1538461538461537,1.0,1.5,1.0,1.0,1.1176470588235294,1.0,1.5,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858
10,1.0571428571428572,0,1.0,0.8454882571075402,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,0.6547619047619048,0.5,1.0,1.0,0.5,1.0,3.267106347897774,0.867467686146004,0.0,1.0,1.0,1.1538461538461537,1.0,0.3333333333333333,1.0,1.0,1.3333333333333333,1.0,1.0,1.4,1.5,2.0,1.6666666666666667
